DATE,CPIAUCSL,CES4200000003
1/1/1947,21.48,
2/1/1947,21.62,
3/1/1947,22,
4/1/1947,22,
5/1/1947,21.95,
6/1/1947,22.08,
7/1/1947,22.23,
8/1/1947,22.4,
9/1/1947,22.84,
10/1/1947,22.91,
11/1/1947,23.06,
12/1/1947,23.41,
1/1/1948,23.68,
2/1/1948,23.67,
3/1/1948,23.5,
4/1/1948,23.82,
5/1/1948,24.01,
6/1/1948,24.15,
7/1/1948,24.4,
8/1/1948,24.43,
9/1/1948,24.36,
10/1/1948,24.31,
11/1/1948,24.16,
12/1/1948,24.05,
1/1/1949,24.01,
2/1/1949,23.91,
3/1/1949,23.91,
4/1/1949,23.92,
5/1/1949,23.91,
6/1/1949,23.92,
7/1/1949,23.7,
8/1/1949,23.7,
9/1/1949,23.75,
10/1/1949,23.67,
11/1/1949,23.7,
12/1/1949,23.61,
1/1/1950,23.51,
2/1/1950,23.61,
3/1/1950,23.64,
4/1/1950,23.65,
5/1/1950,23.77,
6/1/1950,23.88,
7/1/1950,24.07,
8/1/1950,24.2,
9/1/1950,24.34,
10/1/1950,24.5,
11/1/1950,24.6,
12/1/1950,24.98,
1/1/1951,25.38,
2/1/1951,25.83,
3/1/1951,25.88,
4/1/1951,25.92,
5/1/1951,25.99,
6/1/1951,25.93,
7/1/1951,25.91,
8/1/1951,25.86,
9/1/1951,26.03,
10/1/1951,26.16,
11/1/1951,26.32,
12/1/1951,26.47,
1/1/1952,26.45,
2/1/1952,26.41,
3/1/1952,26.39,
4/1/1952,26.46,
5/1/1952,26.47,
6/1/1952,26.53,
7/1/1952,26.68,
8/1/1952,26.69,
9/1/1952,26.63,
10/1/1952,26.69,
11/1/1952,26.69,
12/1/1952,26.71,
1/1/1953,26.64,
2/1/1953,26.59,
3/1/1953,26.63,
4/1/1953,26.69,
5/1/1953,26.7,
6/1/1953,26.77,
7/1/1953,26.79,
8/1/1953,26.85,
9/1/1953,26.89,
10/1/1953,26.95,
11/1/1953,26.85,
12/1/1953,26.87,
1/1/1954,26.94,
2/1/1954,26.99,
3/1/1954,26.93,
4/1/1954,26.86,
5/1/1954,26.93,
6/1/1954,26.94,
7/1/1954,26.86,
8/1/1954,26.85,
9/1/1954,26.81,
10/1/1954,26.72,
11/1/1954,26.78,
12/1/1954,26.77,
1/1/1955,26.77,
2/1/1955,26.82,
3/1/1955,26.79,
4/1/1955,26.79,
5/1/1955,26.77,
6/1/1955,26.71,
7/1/1955,26.76,
8/1/1955,26.72,
9/1/1955,26.85,
10/1/1955,26.82,
11/1/1955,26.88,
12/1/1955,26.87,
1/1/1956,26.83,
2/1/1956,26.86,
3/1/1956,26.89,
4/1/1956,26.93,
5/1/1956,27.03,
6/1/1956,27.15,
7/1/1956,27.29,
8/1/1956,27.31,
9/1/1956,27.35,
10/1/1956,27.51,
11/1/1956,27.51,
12/1/1956,27.63,
1/1/1957,27.67,
2/1/1957,27.8,
3/1/1957,27.86,
4/1/1957,27.93,
5/1/1957,28,
6/1/1957,28.11,
7/1/1957,28.19,
8/1/1957,28.28,
9/1/1957,28.32,
10/1/1957,28.32,
11/1/1957,28.41,
12/1/1957,28.47,
1/1/1958,28.64,
2/1/1958,28.7,
3/1/1958,28.87,
4/1/1958,28.94,
5/1/1958,28.94,
6/1/1958,28.91,
7/1/1958,28.89,
8/1/1958,28.94,
9/1/1958,28.91,
10/1/1958,28.91,
11/1/1958,28.95,
12/1/1958,28.97,
1/1/1959,29.01,
2/1/1959,29,
3/1/1959,28.97,
4/1/1959,28.98,
5/1/1959,29.04,
6/1/1959,29.11,
7/1/1959,29.15,
8/1/1959,29.18,
9/1/1959,29.25,
10/1/1959,29.35,
11/1/1959,29.35,
12/1/1959,29.41,
1/1/1960,29.37,
2/1/1960,29.41,
3/1/1960,29.41,
4/1/1960,29.54,
5/1/1960,29.57,
6/1/1960,29.61,
7/1/1960,29.55,
8/1/1960,29.61,
9/1/1960,29.61,
10/1/1960,29.75,
11/1/1960,29.78,
12/1/1960,29.81,
1/1/1961,29.84,
2/1/1961,29.84,
3/1/1961,29.84,
4/1/1961,29.81,
5/1/1961,29.84,
6/1/1961,29.84,
7/1/1961,29.92,
8/1/1961,29.94,
9/1/1961,29.98,
10/1/1961,29.98,
11/1/1961,29.98,
12/1/1961,30.01,
1/1/1962,30.04,
2/1/1962,30.11,
3/1/1962,30.17,
4/1/1962,30.21,
5/1/1962,30.24,
6/1/1962,30.21,
7/1/1962,30.22,
8/1/1962,30.28,
9/1/1962,30.42,
10/1/1962,30.38,
11/1/1962,30.38,
12/1/1962,30.38,
1/1/1963,30.44,
2/1/1963,30.48,
3/1/1963,30.51,
4/1/1963,30.48,
5/1/1963,30.51,
6/1/1963,30.61,
7/1/1963,30.69,
8/1/1963,30.75,
9/1/1963,30.72,
10/1/1963,30.75,
11/1/1963,30.78,
12/1/1963,30.88,
1/1/1964,30.94,
2/1/1964,30.91,
3/1/1964,30.94,
4/1/1964,30.95,
5/1/1964,30.98,
6/1/1964,31.01,
